"schema_name","table_name","column_name","data_type","nullable","default_value","identity","column_comment"
"public","formation","id_formation","text","NOT NULL","","",""
"public","formation","nom","text","NOT NULL","","",""
"public","formation","jour_semaine","integer","NOT NULL","","",""
"public","formation","heure_debut","time without time zone","NOT NULL","","",""
"public","formation","heure_fin","time without time zone","NOT NULL","","",""
"public","formation","chemins_images","text[]","NULL","","",""
"public","formation","description","text","NULL","","",""
"public","formation_instance","id_formation_instance","text","NOT NULL","","",""
"public","formation_instance","jour","date","NOT NULL","","",""
"public","formation_instance","id_reference_formation","text","NOT NULL","","",""
"public","reservation","id_reservation","text","NOT NULL","","",""
"public","reservation","prenom","text","NOT NULL","","",""
"public","reservation","courriel","text","NOT NULL","","",""
"public","reservation","telephone","bigint","NULL","","",""
"public","reservation","nom","text","NOT NULL","","",""
"public","table_reservation","id_reservation","text","NOT NULL","","",""
"public","table_reservation","id_formation_instance","text","NOT NULL","","",""
