"object_type","schema_name","object_name","parent_name","description","definition"
"COLUMN","public","chemins_images","formation","","text[]"
"COLUMN","public","description","formation","","text"
"COLUMN","public","heure_debut","formation","","time without time zone NOT NULL"
"COLUMN","public","heure_fin","formation","","time without time zone NOT NULL"
"COLUMN","public","id_formation","formation","","text NOT NULL"
"COLUMN","public","jour_semaine","formation","","integer NOT NULL"
"COLUMN","public","nom","formation","","text NOT NULL"
"COLUMN","public","id_formation_instance","formation_instance","","text NOT NULL"
"COLUMN","public","id_reference_formation","formation_instance","","text NOT NULL"
"COLUMN","public","jour","formation_instance","","date NOT NULL"
"COLUMN","public","courriel","reservation","","text NOT NULL"
"COLUMN","public","id_reservation","reservation","","text NOT NULL"
"COLUMN","public","nom","reservation","","text NOT NULL"
"COLUMN","public","prenom","reservation","","text NOT NULL"
"COLUMN","public","telephone","reservation","","bigint"
"COLUMN","public","id_formation_instance","table_reservation","","text NOT NULL"
"COLUMN","public","id_reservation","table_reservation","","text NOT NULL"
"CONSTRAINT","public","Formation_Nom_not_null","formation","n","NOT NULL nom"
"CONSTRAINT","public","Formation_id_formation_not_null","formation","n","NOT NULL id_formation"
"CONSTRAINT","public","Formation_jour_semaine_not_null","formation","n","NOT NULL jour_semaine"
"CONSTRAINT","public","Formation_pkey","formation","PRIMARY KEY","PRIMARY KEY (id_formation)"
"CONSTRAINT","public","check_jour_semaine","formation","CHECK CONSTRAINT","CHECK (((jour_semaine <= 6) AND (jour_semaine >= 0)))"
"CONSTRAINT","public","check_periode","formation","CHECK CONSTRAINT","CHECK ((heure_debut < heure_fin)) NOT VALID"
"CONSTRAINT","public","formation_heure_debut_not_null","formation","n","NOT NULL heure_debut"
"CONSTRAINT","public","formation_heure_fin_not_null","formation","n","NOT NULL heure_fin"
"CONSTRAINT","public","check_formation_instance","formation_instance","CHECK CONSTRAINT","CHECK ((id_formation_instance ~ '^formation_instance[1-9][0-9]*$'::text)) NOT VALID"
"CONSTRAINT","public","formation_instance_id_formation_not_null","formation_instance","n","NOT NULL id_formation_instance"
"CONSTRAINT","public","formation_instance_id_reference_formation_not_null","formation_instance","n","NOT NULL id_reference_formation"
"CONSTRAINT","public","formation_instance_jour_not_null","formation_instance","n","NOT NULL jour"
"CONSTRAINT","public","formation_instance_pkey","formation_instance","PRIMARY KEY","PRIMARY KEY (id_formation_instance)"
"CONSTRAINT","public","reference_formation","formation_instance","FOREIGN KEY","FOREIGN KEY (id_reference_formation) REFERENCES formation(id_formation) NOT VALID"
"CONSTRAINT","public","Reservation_courriel_not_null","reservation","n","NOT NULL courriel"
"CONSTRAINT","public","Reservation_id_reservation_not_null","reservation","n","NOT NULL id_reservation"
"CONSTRAINT","public","Reservation_pkey","reservation","PRIMARY KEY","PRIMARY KEY (id_reservation)"
"CONSTRAINT","public","Reservation_prenom_not_null","reservation","n","NOT NULL prenom"
"CONSTRAINT","public","courriel_check","reservation","CHECK CONSTRAINT","CHECK ((courriel ~ '^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$'::text))"
"CONSTRAINT","public","reservation_nom_not_null","reservation","n","NOT NULL nom"
"CONSTRAINT","public","telephone_check","reservation","CHECK CONSTRAINT","CHECK (((telephone >= 0) AND (telephone <= '99999999999'::bigint)))"
"CONSTRAINT","public","verification_ID","reservation","CHECK CONSTRAINT","CHECK ((id_reservation ~ '^reservation[1-9][0-9]*$'::text))"
"CONSTRAINT","public","Table_reservation_id_formation_instance_not_null","table_reservation","n","NOT NULL id_formation_instance"
"CONSTRAINT","public","Table_reservation_id_reservation_not_null","table_reservation","n","NOT NULL id_reservation"
"CONSTRAINT","public","association_formation_instance","table_reservation","FOREIGN KEY","FOREIGN KEY (id_formation_instance) REFERENCES formation_instance(id_formation_instance) NOT VALID"
"CONSTRAINT","public","association_reservation","table_reservation","FOREIGN KEY","FOREIGN KEY (id_reservation) REFERENCES reservation(id_reservation) NOT VALID"
"CONSTRAINT","public","table_reservation_pkey","table_reservation","PRIMARY KEY","PRIMARY KEY (id_reservation)"
"TABLE","public","formation","","",""
"TABLE","public","formation_instance","","",""
"TABLE","public","reservation","","",""
"TABLE","public","table_reservation","","",""
